Date,HPI,Treatment,Target,Name,Sample,Biorep,Baseline,MNE_fc
20250829,6,tagG,PR1,6hpi-tagG,35,1,Time0,520.6634187
20250829,6,wfgD,PDF1.2,6hpi-wfgD,36,1,Time0,32.68452679
20250829,6,wfgD,PR1,6hpi-wfgD,36,1,Time0,5.046729952
20250829,10,Mock,PDF1.2,10hpi-Mock,6,1,Time0,0.884359303
20250829,10,Mock,PR1,10hpi-Mock,6,1,Time0,0.040948029
20250829,10,OBC,PDF1.2,10hpi-OBC,22,1,Time0,0.603022895
20250829,10,OBC,PR1,10hpi-OBC,22,1,Time0,844.1463996
20250829,10,WT,PDF1.2,10hpi-WT,7,1,Time0,28.24437056
20250829,10,WT,PR1,10hpi-WT,7,1,Time0,12.55997267
20250829,10,rmlC,PDF1.2,10hpi-rmlC,8,1,Time0,1.89840491
20250829,10,rmlC,PR1,10hpi-rmlC,8,1,Time0,0.464004267
20250829,10,tagG,PDF1.2,10hpi-tagG,38,1,Time0,21.44593144
20250829,10,tagG,PR1,10hpi-tagG,38,1,Time0,45.17148728
20250829,10,wfgD,PDF1.2,10hpi-wfgD,9,1,Time0,144.6925307
20250829,10,wfgD,PR1,10hpi-wfgD,9,1,Time0,0.017075638
20250829,24,Mock,PDF1.2,24hpi-Mock,10,1,Time0,3.256153409
20250829,24,Mock,PR1,24hpi-Mock,10,1,Time0,0.498110957
20250829,24,OBC,PDF1.2,24hpi-OBC,23,1,Time0,0.124504981
20250829,24,OBC,PR1,24hpi-OBC,23,1,Time0,208.861457
20250829,24,WT,PDF1.2,24hpi-WT,39,1,Time0,3.665639094
20250829,24,WT,PR1,24hpi-WT,39,1,Time0,378.2196319
20250829,24,rmlC,PDF1.2,24hpi-rmlC,24,1,Time0,0.871454208
20250829,24,rmlC,PR1,24hpi-rmlC,24,1,Time0,0.196178101
20250829,24,tagG,PDF1.2,24hpi-tagG,40,1,Time0,640.1528401
20250829,24,tagG,PR1,24hpi-tagG,40,1,Time0,8217.309422
20250829,24,wfgD,PDF1.2,24hpi-wfgD,11,1,Time0,20.56320031
20250829,24,wfgD,PR1,24hpi-wfgD,11,1,Time0,0.03403081
20250829,48,Mock,PDF1.2,48hpi-Mock,41,1,Time0,7.020866989
20250829,48,Mock,PR1,48hpi-Mock,41,1,Time0,0.820269834
20250829,48,OBC,PDF1.2,48hpi-OBC,26,1,Time0,16.05827137
20250829,48,OBC,PR1,48hpi-OBC,26,1,Time0,3050.535659
20250829,48,WT,PDF1.2,48hpi-WT,25,1,Time0,4066.338699
20250829,48,WT,PR1,48hpi-WT,25,1,Time0,563.3736429
20250829,48,rmlC,PDF1.2,48hpi-rmlC,42,1,Time0,39.01366587
20250829,48,rmlC,PR1,48hpi-rmlC,42,1,Time0,4.785587366
20250829,48,tagG,PDF1.2,48hpi-tagG,27,1,Time0,834.9491066
20250829,48,tagG,PR1,48hpi-tagG,27,1,Time0,86.44687734
20250829,48,wfgD,PDF1.2,48hpi-wfgD,43,1,Time0,14.57595745
20250829,48,wfgD,PR1,48hpi-wfgD,43,1,Time0,0.0542356
20250829,72,Mock,PDF1.2,72hpi-Mock,12,1,Time0,371.6804868
20250829,72,Mock,PR1,72hpi-Mock,12,1,Time0,0.40740515
20250829,72,OBC,PDF1.2,72hpi-OBC,44,1,Time0,1.366314307
20250829,72,OBC,PR1,72hpi-OBC,44,1,Time0,555.9997116
20250829,72,WT,PDF1.2,72hpi-WT,28,1,Time0,748.6871584
20250829,72,WT,PR1,72hpi-WT,28,1,Time0,184.0730228
20250829,72,rmlC,PDF1.2,72hpi-rmlC,13,1,Time0,28.99297998
20250829,72,rmlC,PR1,72hpi-rmlC,13,1,Time0,0.427490591
20250829,72,tagG,PDF1.2,72hpi-tagG,14,1,Time0,135.0853093
20250829,72,tagG,PR1,72hpi-tagG,14,1,Time0,102.5411556
20250829,72,wfgD,PDF1.2,72hpi-wfgD,29,1,Time0,1713.614974
20250829,72,wfgD,PR1,72hpi-wfgD,29,1,Time0,0.041771757
20250904,0,Mock,NHL10,0hpi-Mock,16,1,Mock,1
20250904,0,Mock,PAD3,0hpi-Mock,16,1,Mock,1
20250904,0,OBC,NHL10,0hpi-OBC,31,1,Mock,0.645742989
20250904,0,OBC,PAD3,0hpi-OBC,31,1,Mock,0.847906859
20250904,0,WT,NHL10,0hpi-WT,1,1,Mock,0.342156042
20250904,0,WT,PAD3,0hpi-WT,1,1,Mock,0.046605112
20250904,0,rmlC,NHL10,0hpi-rmlC,17,1,Mock,0.103051815
20250904,0,rmlC,PAD3,0hpi-rmlC,17,1,Mock,1.476142341
20250904,0,tagG,NHL10,0hpi-tagG,32,1,Mock,0.977999111
20250904,0,tagG,PAD3,0hpi-tagG,32,1,Mock,0.436396291
