tnseq_ID,baseMean_Ey,log2FoldChange_Ey,pvalue_Ey,padj_Ey,logFC_tailocin,AveExpr_tailocin,t_tailocin,P.Value_tailocin,adj.P.Val_tailocin,Significance_for_both,Category,name_p25c2_new
BJEIHDPM_01526,3.91648684896317,-0.497772933565998,0.294283166586352,0.510549743200495,-5.073207582,3.975855858,-10.71077124,3.7050893612239E-14,4.96807036728514E-14,Not Significant,Mutual Detriment,DAKCFMEO_05153
BJEIHDPM_01527,44.8802213366353,0.410818372132394,0.151393525222197,0.343265725336405,-5.687110596,7.21269237,-17.83996625,1.84777466031015E-22,1.09881915673214E-21,Not Significant,Non-Focal Trade-off,DAKCFMEO_05154
BJEIHDPM_01528,27.5979508103773,0.250354599523964,0.444764044875391,0.648652191624904,-4.994342765,6.690025402,-18.44024996,4.76615960627174E-23,3.40876303286111E-22,Not Significant,Non-Focal Trade-off,DAKCFMEO_05155
BJEIHDPM_01529,14.3449396835164,1.11419696832888,0.00901340923520974,0.0551335685177778,-5.411102088,5.182930052,-15.84897377,2.13581394783667E-20,7.37393606882603E-20,Significant,Non-Focal Trade-off,DAKCFMEO_05156
BJEIHDPM_01530,17.5458553746793,0.168218147988418,0.614476301389642,0.76971697148034,-5.523201551,6.042471509,-16.567358,3.67067219910608E-21,1.53579388696688E-20,Not Significant,Non-Focal Trade-off,DAKCFMEO_05157
BJEIHDPM_01531,33.0958387186657,0.570224954628237,0.00971236131773948,0.0581109349431135,-5.399403923,7.031757912,-15.11561721,1.36631862775888E-19,3.94522448532783E-19,Significant,Non-Focal Trade-off,DAKCFMEO_05158
BJEIHDPM_01532,25.0660936273136,-0.0716374244017948,0.860683563749337,0.924308476816797,-4.772229803,6.047378874,-15.46296648,5.63058191092827E-20,1.76840069309848E-19,Not Significant,Mutual Detriment,DAKCFMEO_05159
BJEIHDPM_01533,33.2674330589903,-0.183206588703548,0.50365361235853,0.692815633692569,-4.61214932,7.293387999,-20.03721226,1.51884040947854E-24,1.93854125667221E-23,Not Significant,Mutual Detriment,DAKCFMEO_05160
BJEIHDPM_01534,43.7755936733953,-0.186632049869789,0.518661451698234,0.705553980911621,-4.776642593,7.236957137,-19.00017433,1.38772474971855E-23,1.20062132327774E-22,Not Significant,Mutual Detriment,DAKCFMEO_05161
BJEIHDPM_01535,6.77165346102432,0.0355153199986815,0.937155998931007,0.967919063092814,-5.256893099,4.792463535,-12.81857552,6.8706438996219E-17,1.1924853553087E-16,Not Significant,Non-Focal Trade-off,DAKCFMEO_05162
BJEIHDPM_01536,26.3047060351131,0.774844996955498,0.00988422505107556,0.0585488206020449,-5.462763357,6.324768027,-14.70473342,3.96903766754928E-19,1.03406144226759E-18,Significant,Non-Focal Trade-off,DAKCFMEO_05163
BJEIHDPM_01537,14.3565504001982,0.721056278071193,0.0247162675566524,0.109168625932609,-5.208327409,5.709677317,-13.96641421,2.83449780519569E-18,6.22266924388569E-18,Significant,Non-Focal Trade-off,DAKCFMEO_05164
BJEIHDPM_01538,24.8114926582561,0.404155596007548,0.15700542113619,0.349993299464519,-5.51689931,6.560465964,-16.83458691,1.93317158388345E-21,8.81871713978773E-21,Not Significant,Non-Focal Trade-off,DAKCFMEO_05165
BJEIHDPM_01539,0.93544329756362,-0.690041919873957,0.454197293577813,0.655540218003594,-2.623425255,2.368570836,-4.289954075,8.93122129157397E-05,9.08263000175111E-05,Not Significant,Mutual Detriment,DAKCFMEO_05166
BJEIHDPM_01542,20.4759959672672,-1.87918596874874,2.99279341354852E-10,3.83343816905931E-08,-5.490644743,7.722727475,-20.22228285,1.03325443163342E-24,1.40073107836407E-23,Significant,Mutual Detriment,DAKCFMEO_05169
