"","strain","ecotype","batch","replicate","lux_0dpi","lux_7dpi","log_lux_7dpi","log_lux_0dpi","fold_change_7dpi","normalized_value_7dpi"
"482","buffer","Col0","4",1,60,68,1.83250891270624,1.77815125038364,1.03056976301137,NA
"483","buffer","Col0","4",3,60,55.33333333,1.74298683329423,1.77815125038364,0.980224169860789,NA
"484","buffer","Col0","4",8,60,42.66666667,1.63008871496214,1.77815125038364,0.91673231656218,NA
"485","buffer","Col0","4",4,60,59,1.77085201164214,1.77815125038364,0.995895040570972,NA
"486","buffer","Col0","4",2,60,61.33333333,1.78769656826627,1.77815125038364,1.00536811358458,NA
"487","buffer","Col0","4",5,60,50.33333333,1.70185569254475,1.77815125038364,0.957092762596862,NA
"488","buffer","Col0","4",7,60,57,1.75587485567249,1.77815125038364,0.987472159802859,NA
"489","epsE","Col0","4",4,700.7,57.66666667,1.76092484843424,2.84553211749358,0.618838507430135,NA
"490","epsE","Col0","4",3,700.7,68.66666667,1.83674596567057,2.84553211749358,0.645484180051508,NA
"491","epsE","Col0","4",2,700.7,73,1.86332286012046,2.84553211749358,0.654824048080583,NA
"492","epsE","Col0","4",1,700.7,88.66666667,1.94776038192773,2.84553211749358,0.68449776755406,NA
"493","epsE","Col0","4",7,700.7,232.3333333,2.36611152331604,2.84553211749358,0.831518122311751,NA
"494","epsE","Col0","4",5,700.7,66.66666667,1.82390874096603,2.84553211749358,0.640972818318629,NA
"495","epsE","Col0","4",6,700.7,126.6666667,2.10266234201144,2.84553211749358,0.7389346720372,NA
"496","OBC",NA,"4",NA,527.3,NA,NA,2.72205777133146,NA,NA
"497","rmlC","Col0","4",7,709.3,74.33333333,1.87118360830902,2.85082995984853,0.656364509515833,NA
"498","rmlC","Col0","4",1,709.3,82,1.91381385238372,2.85082995984853,0.671318135188042,NA
"499","rmlC","Col0","4",4,709.3,119,2.07554696139253,2.85082995984853,0.728050073355763,NA
"500","rmlC","Col0","4",2,709.3,85.33333333,1.93111871057522,2.85082995984853,0.677388247553644,NA
